         100652 function calls (100647 primitive calls) in 0.594 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 c:\miniconda\envs\Program_2\Lib\contextlib.py:299(helper)
        2    0.000    0.000    0.000    0.000 c:\miniconda\envs\Program_2\Lib\contextlib.py:132(__enter__)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        3    0.000    0.000    0.000    0.000 c:\miniconda\envs\Program_2\Lib\asyncio\selector_events.py:750(_process_events)
        2    0.000    0.000    0.000    0.000 {method 'isoformat' of 'datetime.datetime' objects}
        1    0.000    0.000    0.000    0.000 c:\miniconda\envs\Program_2\Lib\hmac.py:122(copy)
        8    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        2    0.000    0.000    0.000    0.000 c:\miniconda\envs\Program_2\Lib\threading.py:1222(is_alive)
        8    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.000    0.000 C:\Users\Franciscocho\AppData\Roaming\Python\Python312\site-packages\jupyter_client\session.py:272(msg_header)
        2    0.000    0.000    0.000    0.000 c:\miniconda\envs\Program_2\Lib\contextlib.py:104(__init__)
       19    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        2    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
        4    0.000    0.000    0.000    0.000 c:\miniconda\envs\Program_2\Lib\typing.py:1285(__hash__)
        2    0.000    0.000    0.000    0.000 C:\Users\Franciscocho\AppData\Roaming\Python\Python312\site-packages\ipykernel\iostream.py:505(parent_header)
        1    0.000    0.000    0.000    0.000 C:\Users\Franciscocho\AppData\Roaming\Python\Python312\site-packages\jupyter_client\session.py:600(msg_id)
        1    0.000    0.000    0.000    0.000 c:\miniconda\envs\Program_2\Lib\asyncio\events.py:111(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\Franciscocho\AppData\Roaming\Python\Python312\site-packages\ipykernel\iostream.py:718(_rotate_buffers)
        1    0.000    0.000    0.000    0.000 c:\miniconda\envs\Program_2\Lib\hmac.py:161(hexdigest)
        4    0.000    0.000    0.000    0.000 c:\miniconda\envs\Program_2\Lib\hmac.py:117(update)
        2    0.000    0.000    0.000    0.000 C:\Users\Franciscocho\AppData\Roaming\Python\Python312\site-packages\ipykernel\iostream.py:550(_is_master_process)
        7    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       47    0.000    0.000    0.000    0.000 c:\miniconda\envs\Program_2\Lib\typing.py:2187(cast)
        1    0.000    0.000    0.000    0.000 C:\Users\Franciscocho\AppData\Roaming\Python\Python312\site-packages\traitlets\traitlets.py:2635(validate)
        2    0.000    0.000    0.000    0.000 c:\miniconda\envs\Program_2\Lib\threading.py:1155(_wait_for_tstate_lock)
        4    0.000    0.000    0.000    0.000 C:\Users\Franciscocho\AppData\Roaming\Python\Python312\site-packages\IPython\core\compilerop.py:180(extra_flags)
        1    0.000    0.000    0.000    0.000 {method 'copy' of '_hashlib.HMAC' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\Franciscocho\AppData\Roaming\Python\Python312\site-packages\jupyter_client\session.py:198(utcnow)
        7    0.000    0.000    0.000    0.000 {built-in method time.monotonic}
        2    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        4    0.000    0.000    0.000    0.000 {method 'update' of '_hashlib.HMAC' objects}
        1    0.000    0.000    0.000    0.000 {method 'hexdigest' of '_hashlib.HMAC' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\Franciscocho\AppData\Roaming\Python\Python312\site-packages\traitlets\traitlets.py:727(_cross_validate)
        2    0.000    0.000    0.000    0.000 c:\miniconda\envs\Program_2\Lib\asyncio\base_events.py:1907(_add_callback)
        6    0.000    0.000    0.000    0.000 {built-in method nt.getpid}
        5    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 c:\miniconda\envs\Program_2\Lib\asyncio\events.py:36(__init__)
        2    0.000    0.000    0.000    0.000 C:\Users\Franciscocho\AppData\Roaming\Python\Python312\site-packages\tornado\ioloop.py:549(time)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.000    0.000 C:\Users\Franciscocho\AppData\Roaming\Python\Python312\site-packages\jupyter_client\session.py:281(extract_header)
        4    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        2    0.000    0.000    0.000    0.000 c:\miniconda\envs\Program_2\Lib\queue.py:209(_qsize)
        5    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
        2    0.000    0.000    0.000    0.000 C:\Users\Franciscocho\AppData\Roaming\Python\Python312\site-packages\ipykernel\iostream.py:138(_event_pipe)
        5    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\Franciscocho\AppData\Roaming\Python\Python312\site-packages\ipykernel\iostream.py:216(_check_mp_mode)
        1    0.000    0.000    0.000    0.000 {built-in method _heapq.heappush}
        1    0.000    0.000    0.000    0.000 C:\Users\Franciscocho\AppData\Roaming\Python\Python312\site-packages\ipykernel\iostream.py:725(_hooks)
        1    0.000    0.000    0.000    0.000 {built-in method now}
        2    0.000    0.000    0.000    0.000 C:\Users\Franciscocho\AppData\Roaming\Python\Python312\site-packages\IPython\core\displaypub.py:150(is_publishing)
        5    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
        2    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        4    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
        2    0.000    0.000    0.000    0.000 {method 'get' of '_contextvars.ContextVar' objects}
        4    0.000    0.000    0.000    0.000 c:\miniconda\envs\Program_2\Lib\json\encoder.py:105(__init__)
        2    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        2    0.000    0.000    0.000    0.000 C:\Users\Franciscocho\AppData\Roaming\Python\Python312\site-packages\IPython\core\interactiveshell.py:3615(compare)
        2    0.000    0.000    0.000    0.000 c:\miniconda\envs\Program_2\Lib\selectors.py:275(_key_from_fd)
        1    0.000    0.000    0.000    0.000 C:\Users\Franciscocho\AppData\Roaming\Python\Python312\site-packages\ipykernel\iostream.py:213(_is_master_process)
        3    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        4    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
        2    0.000    0.000    0.000    0.000 C:\Users\Franciscocho\AppData\Roaming\Python\Python312\site-packages\IPython\core\interactiveshell.py:1299(user_global_ns)
        1    0.000    0.000    0.000    0.000 C:\Users\Franciscocho\AppData\Roaming\Python\Python312\site-packages\traitlets\traitlets.py:2558(_validate_bounds)
        3    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        2    0.000    0.000    0.000    0.000 {built-in method time.perf_counter}
        4    0.000    0.000    0.000    0.000 C:\Users\Franciscocho\AppData\Roaming\Python\Python312\site-packages\zmq\eventloop\zmqstream.py:528(receiving)
        4    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        2    0.000    0.000    0.000    0.000 C:\Users\Franciscocho\AppData\Roaming\Python\Python312\site-packages\jupyter_client\jsonutil.py:38(_ensure_tzinfo)
        1    0.000    0.000    0.000    0.000 {built-in method _heapq.heappop}
        2    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 c:\miniconda\envs\Program_2\Lib\asyncio\events.py:127(__lt__)
        1    0.000    0.000    0.000    0.000 {method 'getvalue' of '_io.StringIO' objects}
        2    0.000    0.000    0.000    0.000 {built-in method time.time}
        2    0.000    0.000    0.000    0.000 C:\Users\Franciscocho\AppData\Roaming\Python\Python312\site-packages\IPython\core\interactiveshell.py:685(user_ns)
        2    0.000    0.000    0.000    0.000 C:\Users\Franciscocho\AppData\Roaming\Python\Python312\site-packages\IPython\core\displayhook.py:118(is_active)
        2    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FFA798287D0}
        2    0.000    0.000    0.000    0.000 c:\miniconda\envs\Program_2\Lib\threading.py:601(is_set)
        1    0.000    0.000    0.000    0.000 c:\miniconda\envs\Program_2\Lib\site-packages\dateutil\tz\tz.py:74(utcoffset)
        1    0.000    0.000    0.000    0.000 {built-in method _contextvars.copy_context}
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.StringIO' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\Franciscocho\AppData\Roaming\Python\Python312\site-packages\ipykernel\iostream.py:255(closed)
        1    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 c:\miniconda\envs\Program_2\Lib\asyncio\base_events.py:543(_check_closed)
        1    0.000    0.000    0.000    0.000 c:\miniconda\envs\Program_2\Lib\asyncio\base_events.py:2017(get_debug)
        1    0.000    0.000    0.000    0.000 c:\miniconda\envs\Program_2\Lib\hmac.py:139(_current)


